,genres,title,release_date,id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
88310,"Action, Casual, Indie, Simulation, Strategy",Lost Summoner Kitty,2018-01-04,761140,Kotoshiro,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
88311,"Free to Play, Indie, RPG, Strategy",Ironbound,2018-01-04,643980,Secret Level SRL,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
88312,"Casual, Free to Play, Indie, Simulation, Sports",Real Pool 3D - Poolians,2017-07-24,670290,Poolians.com,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
88313,"Action, Adventure, Casual",弹炸人2222,2017-12-07,767400,彼岸领域,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88315,"Action, Adventure, Simulation",Battle Royale Trainer,2018-01-04,772540,Trickjump Games Ltd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88317,"Free to Play, Indie, Simulation, Sports",SNOW - All Access Pro Pass,2018-01-04,774277,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
88318,"Free to Play, Indie, Simulation, Sports",SNOW - All Access Legend Pass,2018-01-04,774278,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
88322,"Action, Adventure, Casual, Indie, RPG",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,Stegalosaurus Game Development,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
88323,"Casual, Indie",Beach Rules,2018-01-04,768880,Copperpick Studio,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88324,"Casual, Indie, Simulation",Planetarium 2 - Zen Odyssey,2018-01-03,765320,Ghulam Jewel,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
88325,"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God,2018-01-03,773650,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
88326,"Free to Play, Indie, Simulation, Sports",SNOW - Starter Pack,2018-01-03,774271,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
88327,"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God - All Aircrafts,2018-01-03,773690,Apillo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
88328,"Free to Play, Indie, Simulation, Sports",SNOW - Lifetime Pack,2018-01-03,774279,Poppermost Productions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
88331,"Action, Adventure, Indie",The Warrior Of Treasures,2018-01-03,768060,Tero Lunkka,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88333,"Racing, Simulation, Sports",RC Plane 3 - Canyon Scenario,2017-12-22,775880,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
88334,"Racing, Simulation, Sports",RC Plane 3 - F-53B,2017-12-23,775881,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
88335,"Action, Indie",DinoBlaster,2018-01-03,653960,Casey Labrack,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88337,"Action, Indie, Racing",Carmageddon Max Pack,1997-06-30,282010,Stainless Games Ltd,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
88338,Action,Half-Life,1998-11-08,70,Valve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88339,"Action, Indie, RPG",Fallen Mage,2016-11-25,752360,dev4play,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
88343,"Casual, Indie, Simulation",Vaporwave Simulator,2018-01-01,766850,ETGgames,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
88348,"Adventure, Casual, Indie, RPG",Bitcoin Clicker,2018-01-01,716110,"lalalaZero,Urbanoff",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
88349,Strategy,Disciples II: Gallean's Return,2006-07-06,1640,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88350,Strategy,Disciples II: Rise of the Elves,2006-07-06,1630,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88351,"Action, Indie, RPG",The Ship: Murder Party,2006-07-11,2400,Outerlight Ltd.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
88356,"Action, Indie, Strategy, Early Access",Souland,2017-12-29,759920,Ultraint,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
88358,"Action, Adventure, Indie, RPG",TAROTICA VOO DOO,2017-12-29,603280,TPM.CO SOFT WORKS,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
88359,"Casual, Strategy, Early Access",Chronicles of Vinland,2017-12-29,753110,Wonderbox Games,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88360,"Action, Indie",Orbitality,2017-12-29,753100,Wonderbox Games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88362,"Action, Adventure, Casual",Atomic Adam: Episode 1,2017-12-30,764280,Mad Unicorn Games,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88365,Action,Advent Rising,2005-08-09,3800,GlyphX Games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
